idx,university,subject,local_path,gs_path
1,osu,ASL,osu/View_Syllabi_9c02deb9.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_9c02deb9.pdf
2,osu,EHE,osu/View_Syllabi_0aca0bce.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_0aca0bce.pdf
3,osu,MOLGEN,osu/View_Syllabi_5280bb2a.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_5280bb2a.pdf
4,osu,MEDDIET,osu/View_Syllabi_60b45aae.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_60b45aae.pdf
5,osu,ENGR,osu/View_Syllabi_82487060.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_82487060.pdf
6,osu,SOCWORK,osu/View_Syllabi_05bb2ad4.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_05bb2ad4.pdf
7,osu,ENGREDU,osu/View_Syllabi_8056d39c.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_8056d39c.pdf
8,osu,MDRNGRK,osu/View_Syllabi_a2c76991.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_a2c76991.pdf
9,osu,KNSISM,osu/View_Syllabi_0d10afd3.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_0d10afd3.pdf
10,osu,GEOSCIM,osu/View_Syllabi_63b6d8cc.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_63b6d8cc.pdf
11,osu,FILMSTD,osu/View_Syllabi_dafee0ae.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_dafee0ae.pdf
12,osu,NAVALSC,osu/View_Syllabi_042ed356.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_042ed356.pdf
13,osu,BIOCHEM,osu/View_Syllabi_9b5f61ea.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_9b5f61ea.pdf
14,osu,HW,osu/View_Syllabi_942654d5.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_942654d5.pdf
15,osu,ARCH,osu/View_Syllabi_665f29c5.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_665f29c5.pdf
16,osu,ESWDE,osu/View_Syllabi_0ad7b7be.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_0ad7b7be.pdf
17,osu,ISE,osu/View_Syllabi_fdece893.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_fdece893.pdf
18,osu,BIOMSCI,osu/View_Syllabi_66d790ab.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_66d790ab.pdf
19,osu,PUBHEPI,osu/View_Syllabi_e85822f2.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_e85822f2.pdf
20,osu,ACCTMIS,osu/View_Syllabi_fe4f9907.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_fe4f9907.pdf
21,osu,CSFRST,osu/View_Syllabi_f373640d.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_f373640d.pdf
22,osu,HISTORY,osu/View_Syllabi_d5d596f1.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_d5d596f1.pdf
23,osu,GENED,osu/View_Syllabi_491c0e19.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_491c0e19.pdf
24,osu,HWIH,osu/View_Syllabi_eb1e5e2e.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_eb1e5e2e.pdf
25,osu,PUBHEHS,osu/View_Syllabi_2604bd77.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_2604bd77.pdf
26,osu,HIMS,osu/View_Syllabi_36f19121.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_36f19121.pdf
27,osu,DANCE,osu/View_Syllabi_d8247951.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_d8247951.pdf
28,osu,ENR,osu/View_Syllabi_ae009874.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_ae009874.pdf
29,osu,ARTEDUC,osu/View_Syllabi_33b7139a.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_33b7139a.pdf
30,osu,DNE,osu/View_Syllabi_a465720f.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_a465720f.pdf
31,osu,MEDMCIM,osu/View_Syllabi_0996c6ea.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_0996c6ea.pdf
32,osu,AGSYSMT,osu/View_Syllabi_fd033ad5.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_fd033ad5.pdf
33,osu,CSHSPMG,osu/View_Syllabi_87dbc71b.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_87dbc71b.pdf
34,osu,SURGERY,osu/View_Syllabi_eb20fb88.pdf,gs://syllabus-480300-syllabi/osu/View_Syllabi_eb20fb88.pdf
35,ufl,VTN,ufl/VTN1130_F24_bb1290b2.pdf,gs://syllabus-480300-syllabi/ufl/VTN1130_F24_bb1290b2.pdf
36,ufl,PROB,ufl/Bhattacharya_sta_7467_syllabus_933ad163.pdf,gs://syllabus-480300-syllabi/ufl/Bhattacharya_sta_7467_syllabus_933ad163.pdf
37,ufl,READ,ufl/Contracts-Arnow-Richman-Syll-Part-2.Reading.S23_50ee90a2.pdf,gs://syllabus-480300-syllabi/ufl/Contracts-Arnow-Richman-Syll-Part-2.Reading.S23_50ee90a2.pdf
38,ufl,NATU,ufl/Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf,gs://syllabus-480300-syllabi/ufl/Taylor-NatureSpiritualityPopularCulture_REL-1101-SYLLABUS-FALL-2024-8.8.2024_99b4759c.pdf
39,ufl,ARGU,ufl/Arguing-Jewish-Law_ff93087f.pdf,gs://syllabus-480300-syllabi/ufl/Arguing-Jewish-Law_ff93087f.pdf
40,ufl,GEY,ufl/GEY4001_2G10_Spring2026_d90d157e.pdf,gs://syllabus-480300-syllabi/ufl/GEY4001_2G10_Spring2026_d90d157e.pdf
41,ufl,NEW,ufl/Syllabus_New-Testament.docx_ca74e1c7.pdf,gs://syllabus-480300-syllabi/ufl/Syllabus_New-Testament.docx_ca74e1c7.pdf
42,ufl,SYLL,ufl/LIN4930-13936-Lang-Social-Interaction-Sp23-Butler_f999f25f.pdf,gs://syllabus-480300-syllabi/ufl/LIN4930-13936-Lang-Social-Interaction-Sp23-Butler_f999f25f.pdf
43,ufl,,ufl/Spr22_RUS3400-7N46_Syllabus_51e7ad45.pdf,gs://syllabus-480300-syllabi/ufl/Spr22_RUS3400-7N46_Syllabus_51e7ad45.pdf
44,ufl,BLAC,ufl/LIN4930-06AB-Fa16-Essegbey.docx_b9f7f87e.pdf,gs://syllabus-480300-syllabi/ufl/LIN4930-06AB-Fa16-Essegbey.docx_b9f7f87e.pdf
45,ufl,SECO,ufl/LIN4721-163A-Spring-2016-Im.docx_3a340388.pdf,gs://syllabus-480300-syllabi/ufl/LIN4721-163A-Spring-2016-Im.docx_3a340388.pdf
46,ufl,PHON,ufl/LIN4930-195F-LIN6341-1F95-Sp17-Wiltshire_1d92e753.pdf,gs://syllabus-480300-syllabi/ufl/LIN4930-195F-LIN6341-1F95-Sp17-Wiltshire_1d92e753.pdf
47,ufl,ECO,ufl/ECO3713_Rojas_Spr22_0089f8e1.pdf,gs://syllabus-480300-syllabi/ufl/ECO3713_Rojas_Spr22_0089f8e1.pdf
48,ufl,POST,ufl/2024_08_10_Post-Holocaust-American-Jews-Syllabus_a8505114.pdf,gs://syllabus-480300-syllabi/ufl/2024_08_10_Post-Holocaust-American-Jews-Syllabus_a8505114.pdf
49,ufl,JOU,ufl/JOU3101-Reporting-Foley-Spring-2025_bdb9cdd7.pdf,gs://syllabus-480300-syllabi/ufl/JOU3101-Reporting-Foley-Spring-2025_bdb9cdd7.pdf
50,ufl,AMER,ufl/spring2024-REL2121-Syllabus-4_d6347e83.pdf,gs://syllabus-480300-syllabi/ufl/spring2024-REL2121-Syllabus-4_d6347e83.pdf
51,ufl,HIST,ufl/REL3938-History-of-Judaism_df85a143.pdf,gs://syllabus-480300-syllabi/ufl/REL3938-History-of-Judaism_df85a143.pdf
52,ufl,CGN,ufl/cgn-4905_fall2025_4572f226.pdf,gs://syllabus-480300-syllabi/ufl/cgn-4905_fall2025_4572f226.pdf
53,ufl,REGR,ufl/Lindberg_sta4210syllabus_fall2025_d8333e56.pdf,gs://syllabus-480300-syllabi/ufl/Lindberg_sta4210syllabus_fall2025_d8333e56.pdf
54,ufl,LAE,ufl/LAE-6947-8MB2-28596-Bryant_03dbd900.pdf,gs://syllabus-480300-syllabi/ufl/LAE-6947-8MB2-28596-Bryant_03dbd900.pdf
55,ufl,NATI,ufl/LIN4930-3C59-LIN6932-26EB-Native-Lang-of-the-South-Fa19-Broadwell_206f390f.pdf,gs://syllabus-480300-syllabi/ufl/LIN4930-3C59-LIN6932-26EB-Native-Lang-of-the-South-Fa19-Broadwell_206f390f.pdf
56,ufl,GENE,ufl/Daniels_STA7249-spring-i2020_c15107cd.pdf,gs://syllabus-480300-syllabi/ufl/Daniels_STA7249-spring-i2020_c15107cd.pdf
57,ufl,ATIS,ufl/OConnor_STA3024_Summer_B_2024_Syllabus_8e14db9c.pdf,gs://syllabus-480300-syllabi/ufl/OConnor_STA3024_Summer_B_2024_Syllabus_8e14db9c.pdf
58,ufl,DYAL,ufl/NGR-6941-FNP-all-secs-DyalCitty.doc_2b1a3816.pdf,gs://syllabus-480300-syllabi/ufl/NGR-6941-FNP-all-secs-DyalCitty.doc_2b1a3816.pdf
59,ufl,PCO,ufl/PCO4113_S0981_Spring2026_a139e836.pdf,gs://syllabus-480300-syllabi/ufl/PCO4113_S0981_Spring2026_a139e836.pdf
60,ufl,MOD,ufl/KarmakarBikram_syllabusSTA7934-_fall2023-1_26fce759.pdf,gs://syllabus-480300-syllabi/ufl/KarmakarBikram_syllabusSTA7934-_fall2023-1_26fce759.pdf
61,ufl,CWR,ufl/CWR3201-Syllabus-Fall-2025_1a7780ea.pdf,gs://syllabus-480300-syllabi/ufl/CWR3201-Syllabus-Fall-2025_1a7780ea.pdf
62,ufl,NG,ufl/ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf,gs://syllabus-480300-syllabi/ufl/ENG1131-1786-12889-FGonzalezSilva_a95c4cdc.pdf
63,ufl,SPEC,ufl/Su_STA-6934_Fall-2021_Updated_222e1c3a.pdf,gs://syllabus-480300-syllabi/ufl/Su_STA-6934_Fall-2021_Updated_222e1c3a.pdf
64,ufl,ENG,ufl/ENG3122-S206-30349-Ray_15c2759e.pdf,gs://syllabus-480300-syllabi/ufl/ENG3122-S206-30349-Ray_15c2759e.pdf
65,ufl,EOC,ufl/eoc6934_spring2025_215e781c.pdf,gs://syllabus-480300-syllabi/ufl/eoc6934_spring2025_215e781c.pdf
66,ufl,ROHA,ufl/NGR-6941-PedsPrimary-sec-709B-Rohan.docx_a845384e.pdf,gs://syllabus-480300-syllabi/ufl/NGR-6941-PedsPrimary-sec-709B-Rohan.docx_a845384e.pdf
67,ufl,JPW,ufl/JPW4130_F24_39da2d7b.pdf,gs://syllabus-480300-syllabi/ufl/JPW4130_F24_39da2d7b.pdf
68,ufl,RUT,ufl/RUT3101_F24_a45dd55f.pdf,gs://syllabus-480300-syllabi/ufl/RUT3101_F24_a45dd55f.pdf
69,utaustin,PED,utaustin/11814705_266fbf92.pdf,gs://syllabus-480300-syllabi/utaustin/11814705_266fbf92.pdf
70,utaustin,MBS,utaustin/14606760_edb82012.pdf,gs://syllabus-480300-syllabi/utaustin/14606760_edb82012.pdf
71,utaustin,MDV,utaustin/5568203_d8ac5267.pdf,gs://syllabus-480300-syllabi/utaustin/5568203_d8ac5267.pdf
72,utaustin,SSE,utaustin/16293137_50d14ce8.pdf,gs://syllabus-480300-syllabi/utaustin/16293137_50d14ce8.pdf
73,utaustin,CH,utaustin/14658959_2ccca317.pdf,gs://syllabus-480300-syllabi/utaustin/14658959_2ccca317.pdf
74,utaustin,AST,utaustin/7800510_96e39fae.pdf,gs://syllabus-480300-syllabi/utaustin/7800510_96e39fae.pdf
75,utaustin,DAN,utaustin/12947636_aa8812f0.pdf,gs://syllabus-480300-syllabi/utaustin/12947636_aa8812f0.pdf
76,utaustin,IRG,utaustin/7731222_7707e987.pdf,gs://syllabus-480300-syllabi/utaustin/7731222_7707e987.pdf
77,utaustin,HIS,utaustin/5065654_23ac37b9.pdf,gs://syllabus-480300-syllabi/utaustin/5065654_23ac37b9.pdf
78,utaustin,SUS,utaustin/11305260_803f9e44.pdf,gs://syllabus-480300-syllabi/utaustin/11305260_803f9e44.pdf
79,utaustin,GEO,utaustin/12950591_f7b7d877.pdf,gs://syllabus-480300-syllabi/utaustin/12950591_f7b7d877.pdf
80,utaustin,EDC,utaustin/14063541_424c06c7.pdf,gs://syllabus-480300-syllabi/utaustin/14063541_424c06c7.pdf
81,utaustin,SSC,utaustin/4510020_f4cabcdb.pdf,gs://syllabus-480300-syllabi/utaustin/4510020_f4cabcdb.pdf
82,utaustin,RUS,utaustin/10514346_b7347974.pdf,gs://syllabus-480300-syllabi/utaustin/10514346_b7347974.pdf
83,utaustin,BSN,utaustin/14712486_c31a1459.pdf,gs://syllabus-480300-syllabi/utaustin/14712486_c31a1459.pdf
84,utaustin,ENM,utaustin/16293406_58d0b069.pdf,gs://syllabus-480300-syllabi/utaustin/16293406_58d0b069.pdf
85,utaustin,UGS,utaustin/5087640_9753dcf2.pdf,gs://syllabus-480300-syllabi/utaustin/5087640_9753dcf2.pdf
86,utaustin,CHI,utaustin/3419835_42c32f1a.pdf,gs://syllabus-480300-syllabi/utaustin/3419835_42c32f1a.pdf
87,utaustin,SED,utaustin/2202340_ae43c208.pdf,gs://syllabus-480300-syllabi/utaustin/2202340_ae43c208.pdf
88,utaustin,LAT,utaustin/12635922_2d29bef2.pdf,gs://syllabus-480300-syllabi/utaustin/12635922_2d29bef2.pdf
89,utaustin,CZ,utaustin/2874360_e02b0d4b.pdf,gs://syllabus-480300-syllabi/utaustin/2874360_e02b0d4b.pdf
90,utaustin,AED,utaustin/12962294_dfffe6ce.pdf,gs://syllabus-480300-syllabi/utaustin/12962294_dfffe6ce.pdf
91,utaustin,AMS,utaustin/8298342_7b3c680c.pdf,gs://syllabus-480300-syllabi/utaustin/8298342_7b3c680c.pdf
92,utaustin,C C,utaustin/3445820_bd62b646.pdf,gs://syllabus-480300-syllabi/utaustin/3445820_bd62b646.pdf
93,utaustin,ECE,utaustin/12953992_f184257a.pdf,gs://syllabus-480300-syllabi/utaustin/12953992_f184257a.pdf
94,utaustin,BDP,utaustin/6656290_0b8d9f8d.pdf,gs://syllabus-480300-syllabi/utaustin/6656290_0b8d9f8d.pdf
95,utaustin,S C,utaustin/11074579_d6f48cfe.pdf,gs://syllabus-480300-syllabi/utaustin/11074579_d6f48cfe.pdf
96,utaustin,MKT,utaustin/1452161_5d27a409.pdf,gs://syllabus-480300-syllabi/utaustin/1452161_5d27a409.pdf
97,utaustin,PHY,utaustin/1049788_c710862c.pdf,gs://syllabus-480300-syllabi/utaustin/1049788_c710862c.pdf
98,utaustin,EVE,utaustin/11091559_4a7769b2.pdf,gs://syllabus-480300-syllabi/utaustin/11091559_4a7769b2.pdf
99,utaustin,O M,utaustin/7241375_e3afbb50.pdf,gs://syllabus-480300-syllabi/utaustin/7241375_e3afbb50.pdf
100,utaustin,EER,utaustin/8335871_514a3a24.pdf,gs://syllabus-480300-syllabi/utaustin/8335871_514a3a24.pdf
